term,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,synonym_1,synonym_2,synonym_3
gut,0,0,0,0,0,0,0,0,1,0,opening,fistula,tubule
retraction,0,0,0,0,0,0,0,0,0,0,repentance,withdrawal,apostasy
conceit,0,0,0,0,0,0,1,0,0,0,vanity,assurance,airs
guide,0,0,0,1,0,1,0,0,0,0,teaching,direct,breed
foam,0,0,0,0,0,0,0,0,0,0,bubble,sparkle,mantle
uniform,0,0,0,0,0,0,0,0,0,0,clothing,outfit,harness
mouth,0,0,0,0,0,0,0,0,0,0,beginning,chops,lips
credit,0,0,0,0,0,0,0,0,0,0,approbation,kudos,popularity
associate,0,0,0,1,0,1,0,0,0,0,friend,colleague,neighbor
link,0,0,0,0,0,0,0,0,0,0,relation,tie,comparison
ignore,0,0,0,0,0,0,1,0,0,0,repudiate,disclaim,abrogate
carve,0,0,0,0,0,0,0,0,0,0,sculpture,chisel,cut
twist,0,0,0,0,0,0,0,0,0,0,convolution,coil,roll
contravene,0,0,0,0,0,0,1,0,0,0,contradict,rebut,oppose
subject,0,0,0,0,0,0,0,0,0,0,topic,theorem,thesis
association,0,0,0,1,0,0,0,0,0,0,assemblage,shower,brotherhood
withdrawal,0,0,0,0,0,0,0,0,0,0,taking,subtraction,abstraction
ball,0,0,0,0,0,0,0,0,0,0,propulsion,projectile,missile
caliber,0,0,0,0,0,0,0,0,0,0,size,tonnage,capacity
ascent,0,0,0,0,0,0,0,0,0,0,increase,produce,rise
exposition,0,0,0,0,0,0,0,0,0,0,exhibition,spectacle,procession
puppet,0,0,0,0,0,0,0,0,0,0,servant,creature,mercenary
agent,0,0,0,0,0,0,0,0,0,0,servant,man,clerk
triumph,0,0,1,0,0,1,0,0,0,1,celebration,commemoration,jubilee
reverse,0,0,0,0,0,0,0,0,0,0,invert,contravene,contradict
swing,0,0,0,0,0,0,0,0,0,0,oscillation,rock,courtesy
function,0,0,0,0,0,0,0,0,0,0,utility,usefulness,efficiency
harm,1,0,0,0,0,0,1,0,0,0,deterioration,damage,mar
rest,0,0,0,0,0,0,0,0,0,0,pause,anchor,stand
deal,0,0,1,1,1,1,0,0,0,1,barter,negotiation,dealing
approach,0,0,0,0,0,0,0,0,0,0,convergence,suburbs,proximity
pull,0,0,0,0,0,0,0,0,0,0,navigation,paddle,row
tap,0,0,0,0,0,0,0,0,0,0,opening,drill,bore
union,0,0,0,0,0,0,0,0,0,0,party,combination,coalition
swerve,0,0,0,0,0,0,0,0,0,0,unwillingness,shrink,recoil
rival,0,0,0,0,0,0,0,0,0,0,opposition,emulate,stem
short,0,0,0,0,0,0,0,0,0,0,shortcoming,minus,deficient
sap,0,0,0,0,0,0,1,1,0,0,deterioration,shake,undermine
join,0,0,0,0,0,0,0,0,0,0,mixture,combine,knead
function,0,0,0,0,0,0,0,0,0,0,agency,working,play
yield,0,0,0,0,0,0,0,0,0,0,relinquish,surrender,cede
amateur,0,0,0,0,0,0,0,0,0,0,novice,swab,stick
development,0,0,0,0,0,0,0,0,0,0,expansion,increment,spread
register,0,0,0,0,0,0,0,0,0,0,record,enroll,insert
reception,0,0,0,0,0,0,0,0,0,0,courtesy,presentation,greeting
duplicate,0,0,0,0,0,0,0,0,0,0,copy,reproduction,shadow
stiff,0,0,0,0,0,0,1,0,0,0,severity,absolute,exacting
whisper,0,0,0,0,0,0,0,0,0,0,lisp,mouth,mumble
notice,0,0,0,0,0,0,0,0,0,0,judgment,report,review
sponge,0,0,0,0,0,0,0,0,0,0,dryness,swab,wipe
watch,1,0,1,0,0,0,0,0,0,0,care,surveillance,vigil
